arquivo,cluster
data/C50/C50train\acq\1098.txt,4
data/C50/C50train\acq\1099.txt,4
data/C50/C50train\acq\11.txt,4
data/C50/C50train\acq\110.txt,4
data/C50/C50train\acq\1100.txt,4
data/C50/C50train\acq\1101.txt,4
data/C50/C50train\acq\1102.txt,4
data/C50/C50train\acq\1103.txt,4
data/C50/C50train\acq\1104.txt,4
data/C50/C50train\acq\1105.txt,4
data/C50/C50train\acq\1106.txt,4
data/C50/C50train\acq\1107.txt,2
data/C50/C50train\acq\1108.txt,4
data/C50/C50train\acq\1109.txt,4
data/C50/C50train\acq\111.txt,4
data/C50/C50train\acq\1110.txt,4
data/C50/C50train\acq\1111.txt,4
data/C50/C50train\acq\1112.txt,4
data/C50/C50train\acq\1113.txt,4
data/C50/C50train\acq\1114.txt,4
data/C50/C50train\acq\1115.txt,4
data/C50/C50train\acq\1116.txt,4
data/C50/C50train\acq\1117.txt,4
data/C50/C50train\acq\1118.txt,4
data/C50/C50train\acq\1119.txt,4
data/C50/C50train\acq\112.txt,4
data/C50/C50train\acq\1120.txt,4
data/C50/C50train\acq\1121.txt,2
data/C50/C50train\acq\1122.txt,2
data/C50/C50train\acq\1123.txt,4
data/C50/C50train\acq\1124.txt,4
data/C50/C50train\acq\1125.txt,4
data/C50/C50train\acq\1126.txt,4
data/C50/C50train\acq\1127.txt,2
data/C50/C50train\acq\1128.txt,4
data/C50/C50train\acq\1129.txt,4
data/C50/C50train\acq\113.txt,4
data/C50/C50train\acq\1130.txt,4
data/C50/C50train\acq\1131.txt,4
data/C50/C50train\acq\1132.txt,4
data/C50/C50train\acq\1133.txt,4
data/C50/C50train\acq\1134.txt,4
data/C50/C50train\acq\1135.txt,1
data/C50/C50train\acq\1136.txt,4
data/C50/C50train\acq\1137.txt,6
data/C50/C50train\acq\1138.txt,4
data/C50/C50train\acq\1139.txt,4
data/C50/C50train\acq\114.txt,4
data/C50/C50train\acq\1140.txt,4
data/C50/C50train\acq\1141.txt,4
data/C50/C50train\acq\1142.txt,4
data/C50/C50train\acq\1143.txt,4
data/C50/C50train\acq\1144.txt,6
data/C50/C50train\acq\1145.txt,4
data/C50/C50train\acq\1146.txt,4
data/C50/C50train\acq\1147.txt,4
data/C50/C50train\acq\1148.txt,2
data/C50/C50train\acq\1149.txt,4
data/C50/C50train\acq\115.txt,4
data/C50/C50train\acq\1150.txt,4
data/C50/C50train\acq\1151.txt,6
data/C50/C50train\acq\1152.txt,4
data/C50/C50train\acq\1153.txt,4
data/C50/C50train\acq\1154.txt,4
data/C50/C50train\acq\1155.txt,4
data/C50/C50train\acq\1156.txt,4
data/C50/C50train\acq\1157.txt,4
data/C50/C50train\acq\1158.txt,4
data/C50/C50train\acq\1159.txt,4
data/C50/C50train\acq\116.txt,6
data/C50/C50train\acq\1160.txt,4
data/C50/C50train\acq\1161.txt,4
data/C50/C50train\acq\1162.txt,4
data/C50/C50train\acq\1163.txt,4
data/C50/C50train\acq\1164.txt,4
data/C50/C50train\acq\1165.txt,2
data/C50/C50train\acq\1166.txt,4
data/C50/C50train\acq\1167.txt,4
data/C50/C50train\acq\1168.txt,4
data/C50/C50train\acq\1169.txt,4
data/C50/C50train\acq\117.txt,2
data/C50/C50train\acq\1170.txt,4
data/C50/C50train\acq\1171.txt,2
data/C50/C50train\acq\1172.txt,4
data/C50/C50train\acq\1173.txt,4
data/C50/C50train\acq\1174.txt,4
data/C50/C50train\acq\1175.txt,4
data/C50/C50train\acq\1176.txt,4
data/C50/C50train\acq\1177.txt,4
data/C50/C50train\acq\1178.txt,4
data/C50/C50train\acq\1179.txt,4
data/C50/C50train\acq\118.txt,4
data/C50/C50train\acq\1180.txt,4
data/C50/C50train\acq\1181.txt,4
data/C50/C50train\acq\1182.txt,4
data/C50/C50train\acq\1183.txt,4
data/C50/C50train\acq\1184.txt,9
data/C50/C50train\acq\1185.txt,4
data/C50/C50train\acq\1186.txt,4
data/C50/C50train\acq\1187.txt,4
data/C50/C50train\acq\1188.txt,4
data/C50/C50train\acq\1189.txt,4
data/C50/C50train\acq\119.txt,4
data/C50/C50train\acq\1190.txt,4
data/C50/C50train\acq\1191.txt,4
data/C50/C50train\acq\1192.txt,4
data/C50/C50train\acq\1193.txt,4
data/C50/C50train\acq\1194.txt,4
data/C50/C50train\acq\1195.txt,4
data/C50/C50train\acq\1196.txt,4
data/C50/C50train\acq\1197.txt,4
data/C50/C50train\acq\1198.txt,4
data/C50/C50train\acq\1199.txt,4
data/C50/C50train\acq\12.txt,2
data/C50/C50train\acq\120.txt,2
data/C50/C50train\acq\1200.txt,2
data/C50/C50train\acq\1201.txt,4
data/C50/C50train\acq\1202.txt,4
data/C50/C50train\acq\1203.txt,4
data/C50/C50train\acq\1204.txt,4
data/C50/C50train\acq\1205.txt,4
data/C50/C50train\acq\1206.txt,4
data/C50/C50train\acq\1207.txt,4
data/C50/C50train\acq\1208.txt,6
data/C50/C50train\acq\1209.txt,4
data/C50/C50train\acq\121.txt,4
data/C50/C50train\acq\1210.txt,4
data/C50/C50train\acq\1211.txt,4
data/C50/C50train\acq\1212.txt,4
data/C50/C50train\acq\1213.txt,4
data/C50/C50train\acq\1214.txt,4
data/C50/C50train\acq\1215.txt,4
data/C50/C50train\acq\1216.txt,4
data/C50/C50train\acq\1217.txt,4
data/C50/C50train\acq\1218.txt,4
data/C50/C50train\acq\1219.txt,4
data/C50/C50train\acq\122.txt,4
data/C50/C50train\acq\1220.txt,4
data/C50/C50train\acq\1221.txt,4
data/C50/C50train\acq\1222.txt,4
data/C50/C50train\acq\1223.txt,4
data/C50/C50train\acq\1224.txt,6
data/C50/C50train\acq\1225.txt,3
data/C50/C50train\acq\1226.txt,6
data/C50/C50train\acq\1227.txt,4
data/C50/C50train\acq\1228.txt,4
data/C50/C50train\acq\1229.txt,4
data/C50/C50train\acq\123.txt,4
data/C50/C50train\acq\1230.txt,4
data/C50/C50train\acq\1231.txt,4
data/C50/C50train\acq\1232.txt,4
data/C50/C50train\acq\1233.txt,4
data/C50/C50train\acq\1234.txt,4
data/C50/C50train\acq\1235.txt,4
data/C50/C50train\acq\1236.txt,2
data/C50/C50train\acq\1237.txt,4
data/C50/C50train\acq\1238.txt,4
data/C50/C50train\acq\1239.txt,4
data/C50/C50train\acq\124.txt,4
data/C50/C50train\acq\1240.txt,4
data/C50/C50train\acq\1241.txt,4
data/C50/C50train\acq\1242.txt,4
data/C50/C50train\acq\1243.txt,4
data/C50/C50train\acq\1244.txt,4
data/C50/C50train\acq\1245.txt,4
data/C50/C50train\acq\1246.txt,4
data/C50/C50train\acq\1247.txt,4
data/C50/C50train\acq\1248.txt,4
data/C50/C50train\acq\1249.txt,4
data/C50/C50train\acq\125.txt,4
data/C50/C50train\acq\1250.txt,4
data/C50/C50train\acq\1251.txt,4
data/C50/C50train\acq\1252.txt,4
data/C50/C50train\acq\1253.txt,4
data/C50/C50train\acq\1254.txt,4
data/C50/C50train\acq\1255.txt,4
data/C50/C50train\acq\1256.txt,4
data/C50/C50train\acq\1257.txt,4
data/C50/C50train\acq\1258.txt,4
data/C50/C50train\acq\1259.txt,2
data/C50/C50train\acq\126.txt,4
data/C50/C50train\acq\1260.txt,4
data/C50/C50train\acq\1261.txt,6
data/C50/C50train\acq\1262.txt,4
data/C50/C50train\acq\1263.txt,4
data/C50/C50train\acq\1264.txt,4
data/C50/C50train\acq\1265.txt,6
data/C50/C50train\acq\1266.txt,4
data/C50/C50train\acq\1267.txt,1
data/C50/C50train\acq\1268.txt,4
data/C50/C50train\acq\1269.txt,4
data/C50/C50train\acq\127.txt,2
data/C50/C50train\acq\1270.txt,4
data/C50/C50train\acq\1271.txt,4
data/C50/C50train\acq\1272.txt,4
data/C50/C50train\acq\1273.txt,4
data/C50/C50train\acq\1274.txt,2
data/C50/C50train\acq\1275.txt,4
data/C50/C50train\acq\1276.txt,4
data/C50/C50train\acq\1277.txt,4
data/C50/C50train\acq\1278.txt,4
data/C50/C50train\acq\1279.txt,4
data/C50/C50train\acq\128.txt,4
data/C50/C50train\acq\1280.txt,4
data/C50/C50train\acq\1281.txt,4
data/C50/C50train\acq\1282.txt,4
data/C50/C50train\acq\1283.txt,4
data/C50/C50train\acq\1284.txt,4
data/C50/C50train\acq\1285.txt,4
data/C50/C50train\acq\1286.txt,4
data/C50/C50train\acq\1287.txt,4
data/C50/C50train\acq\1288.txt,4
data/C50/C50train\acq\1289.txt,4
data/C50/C50train\acq\129.txt,2
data/C50/C50train\acq\1290.txt,4
data/C50/C50train\acq\1291.txt,4
data/C50/C50train\acq\1292.txt,4
data/C50/C50train\acq\1293.txt,4
data/C50/C50train\acq\1294.txt,4
data/C50/C50train\acq\1295.txt,4
data/C50/C50train\acq\1296.txt,4
data/C50/C50train\acq\1297.txt,4
data/C50/C50train\acq\1298.txt,2
data/C50/C50train\acq\1299.txt,2
data/C50/C50train\acq\13.txt,4
data/C50/C50train\acq\130.txt,4
data/C50/C50train\acq\1300.txt,4
data/C50/C50train\acq\1301.txt,4
data/C50/C50train\acq\1302.txt,4
data/C50/C50train\acq\1303.txt,4
data/C50/C50train\acq\1304.txt,4
data/C50/C50train\acq\1305.txt,4
data/C50/C50train\acq\1306.txt,4
data/C50/C50train\acq\1307.txt,4
data/C50/C50train\acq\1308.txt,4
data/C50/C50train\acq\1309.txt,4
data/C50/C50train\acq\131.txt,4
data/C50/C50train\acq\1310.txt,2
data/C50/C50train\acq\1311.txt,4
data/C50/C50train\acq\1312.txt,4
data/C50/C50train\acq\1313.txt,4
data/C50/C50train\acq\1314.txt,4
data/C50/C50train\acq\1315.txt,4
data/C50/C50train\acq\1316.txt,4
data/C50/C50train\acq\1317.txt,4
data/C50/C50train\acq\1318.txt,4
data/C50/C50train\acq\1319.txt,4
data/C50/C50train\acq\132.txt,4
data/C50/C50train\acq\1320.txt,4
data/C50/C50train\acq\1321.txt,4
data/C50/C50train\acq\1322.txt,4
data/C50/C50train\acq\1323.txt,4
data/C50/C50train\acq\1324.txt,4
data/C50/C50train\acq\1325.txt,4
data/C50/C50train\acq\1326.txt,2
data/C50/C50train\acq\1327.txt,2
data/C50/C50train\acq\1328.txt,4
data/C50/C50train\acq\1329.txt,4
data/C50/C50train\acq\133.txt,4
data/C50/C50train\acq\1330.txt,4
data/C50/C50train\acq\1331.txt,2
data/C50/C50train\acq\1332.txt,4
data/C50/C50train\acq\1333.txt,4
data/C50/C50train\acq\1334.txt,4
data/C50/C50train\acq\1335.txt,4
data/C50/C50train\acq\1336.txt,4
data/C50/C50train\acq\1337.txt,2
data/C50/C50train\acq\1338.txt,6
data/C50/C50train\acq\1339.txt,4
data/C50/C50train\acq\134.txt,4
data/C50/C50train\acq\1340.txt,4
data/C50/C50train\acq\1341.txt,4
data/C50/C50train\acq\1342.txt,4
data/C50/C50train\acq\1343.txt,4
data/C50/C50train\acq\1344.txt,4
data/C50/C50train\acq\1345.txt,4
data/C50/C50train\acq\1346.txt,6
data/C50/C50train\acq\1347.txt,4
data/C50/C50train\acq\1348.txt,4
data/C50/C50train\acq\1349.txt,2
data/C50/C50train\acq\135.txt,4
data/C50/C50train\acq\1350.txt,4
data/C50/C50train\acq\1351.txt,4
data/C50/C50train\acq\1352.txt,4
data/C50/C50train\acq\1353.txt,4
data/C50/C50train\acq\1354.txt,4
data/C50/C50train\acq\1355.txt,4
data/C50/C50train\acq\1356.txt,4
data/C50/C50train\acq\1357.txt,4
data/C50/C50train\acq\1358.txt,4
data/C50/C50train\acq\1359.txt,4
data/C50/C50train\acq\136.txt,4
data/C50/C50train\acq\1360.txt,4
data/C50/C50train\acq\1361.txt,2
data/C50/C50train\acq\1362.txt,6
data/C50/C50train\acq\1363.txt,4
data/C50/C50train\acq\1364.txt,4
data/C50/C50train\acq\1365.txt,4
data/C50/C50train\acq\1366.txt,4
data/C50/C50train\acq\1367.txt,4
data/C50/C50train\acq\1368.txt,4
data/C50/C50train\acq\1369.txt,4
data/C50/C50train\acq\137.txt,4
data/C50/C50train\acq\1370.txt,4
data/C50/C50train\acq\1371.txt,4
data/C50/C50train\acq\1372.txt,4
data/C50/C50train\acq\1373.txt,4
data/C50/C50train\acq\1374.txt,4
data/C50/C50train\acq\1375.txt,4
data/C50/C50train\acq\1376.txt,4
data/C50/C50train\acq\1377.txt,4
data/C50/C50train\acq\1378.txt,4
data/C50/C50train\acq\1379.txt,6
data/C50/C50train\acq\138.txt,1
data/C50/C50train\acq\1380.txt,4
data/C50/C50train\acq\1381.txt,4
data/C50/C50train\acq\1382.txt,4
data/C50/C50train\acq\1383.txt,4
data/C50/C50train\acq\1384.txt,4
data/C50/C50train\acq\1385.txt,4
data/C50/C50train\acq\1386.txt,2
data/C50/C50train\acq\1387.txt,4
data/C50/C50train\acq\1388.txt,4
data/C50/C50train\acq\1389.txt,4
data/C50/C50train\acq\139.txt,4
data/C50/C50train\acq\1390.txt,4
data/C50/C50train\acq\1391.txt,4
data/C50/C50train\acq\1392.txt,4
data/C50/C50train\acq\1393.txt,4
data/C50/C50train\acq\1394.txt,4
data/C50/C50train\acq\1395.txt,4
data/C50/C50train\acq\1396.txt,4
data/C50/C50train\acq\1397.txt,4
data/C50/C50train\acq\1398.txt,4
data/C50/C50train\acq\1399.txt,4
data/C50/C50train\acq\14.txt,4
data/C50/C50train\acq\140.txt,4
data/C50/C50train\acq\1400.txt,4
data/C50/C50train\acq\1401.txt,4
data/C50/C50train\acq\1402.txt,4
data/C50/C50train\acq\1403.txt,4
data/C50/C50train\acq\1404.txt,4
data/C50/C50train\acq\1405.txt,4
data/C50/C50train\acq\1406.txt,4
data/C50/C50train\acq\1407.txt,4
data/C50/C50train\acq\1408.txt,4
data/C50/C50train\acq\1409.txt,4
data/C50/C50train\acq\141.txt,4
data/C50/C50train\acq\1410.txt,4
data/C50/C50train\acq\1411.txt,2
data/C50/C50train\acq\1412.txt,4
data/C50/C50train\acq\1413.txt,4
data/C50/C50train\acq\1414.txt,4
data/C50/C50train\acq\1415.txt,4
data/C50/C50train\acq\1416.txt,4
data/C50/C50train\acq\1417.txt,2
data/C50/C50train\acq\1418.txt,4
data/C50/C50train\acq\1419.txt,4
data/C50/C50train\acq\142.txt,4
data/C50/C50train\acq\1420.txt,4
data/C50/C50train\acq\1421.txt,4
data/C50/C50train\acq\1422.txt,4
data/C50/C50train\acq\1423.txt,4
data/C50/C50train\acq\1424.txt,4
data/C50/C50train\acq\1425.txt,4
data/C50/C50train\acq\1426.txt,4
data/C50/C50train\acq\1427.txt,4
data/C50/C50train\acq\1428.txt,4
data/C50/C50train\acq\1429.txt,4
data/C50/C50train\acq\143.txt,4
data/C50/C50train\acq\1430.txt,6
data/C50/C50train\acq\1431.txt,6
data/C50/C50train\acq\1432.txt,6
data/C50/C50train\acq\1433.txt,4
data/C50/C50train\acq\1434.txt,4
data/C50/C50train\acq\1435.txt,4
data/C50/C50train\acq\1436.txt,4
data/C50/C50train\acq\1437.txt,4
data/C50/C50train\acq\1438.txt,4
data/C50/C50train\acq\1439.txt,4
data/C50/C50train\acq\144.txt,4
data/C50/C50train\acq\1440.txt,4
data/C50/C50train\acq\1441.txt,4
data/C50/C50train\acq\1442.txt,4
data/C50/C50train\acq\1443.txt,4
data/C50/C50train\acq\1444.txt,4
data/C50/C50train\acq\1445.txt,4
data/C50/C50train\acq\1446.txt,4
data/C50/C50train\acq\1447.txt,4
data/C50/C50train\acq\1448.txt,4
data/C50/C50train\acq\1449.txt,4
data/C50/C50train\acq\145.txt,4
data/C50/C50train\acq\1450.txt,4
data/C50/C50train\acq\1451.txt,4
data/C50/C50train\acq\1452.txt,4
data/C50/C50train\acq\1453.txt,4
data/C50/C50train\acq\1454.txt,4
data/C50/C50train\acq\1455.txt,4
data/C50/C50train\acq\1456.txt,4
data/C50/C50train\acq\1457.txt,4
data/C50/C50train\acq\1458.txt,4
data/C50/C50train\acq\1459.txt,4
data/C50/C50train\acq\146.txt,4
data/C50/C50train\acq\1460.txt,4
data/C50/C50train\acq\1461.txt,6
data/C50/C50train\acq\1462.txt,2
data/C50/C50train\acq\1463.txt,4
data/C50/C50train\acq\1464.txt,2
data/C50/C50train\acq\1465.txt,6
data/C50/C50train\acq\1466.txt,1
data/C50/C50train\acq\1467.txt,4
data/C50/C50train\acq\1468.txt,4
data/C50/C50train\acq\1469.txt,4
data/C50/C50train\acq\147.txt,4
data/C50/C50train\acq\1470.txt,4
data/C50/C50train\acq\1471.txt,4
data/C50/C50train\acq\1472.txt,4
data/C50/C50train\acq\1473.txt,4
data/C50/C50train\acq\1474.txt,4
data/C50/C50train\acq\1475.txt,4
data/C50/C50train\acq\1476.txt,4
data/C50/C50train\acq\1477.txt,4
data/C50/C50train\acq\1478.txt,2
data/C50/C50train\acq\1479.txt,6
data/C50/C50train\acq\148.txt,4
data/C50/C50train\acq\1480.txt,2
data/C50/C50train\acq\1481.txt,4
data/C50/C50train\acq\1482.txt,4
data/C50/C50train\acq\1483.txt,4
data/C50/C50train\acq\1484.txt,6
data/C50/C50train\acq\1485.txt,2
data/C50/C50train\acq\1486.txt,4
data/C50/C50train\acq\1487.txt,4
data/C50/C50train\acq\1488.txt,4
data/C50/C50train\acq\1489.txt,4
data/C50/C50train\acq\149.txt,6
data/C50/C50train\acq\1490.txt,4
data/C50/C50train\acq\1491.txt,6
data/C50/C50train\acq\1492.txt,4
data/C50/C50train\acq\1493.txt,2
data/C50/C50train\acq\1494.txt,4
data/C50/C50train\acq\1495.txt,4
data/C50/C50train\acq\1496.txt,4
data/C50/C50train\acq\1497.txt,4
data/C50/C50train\acq\1498.txt,2
data/C50/C50train\acq\1499.txt,4
data/C50/C50train\acq\15.txt,4
data/C50/C50train\acq\150.txt,4
data/C50/C50train\acq\1500.txt,4
data/C50/C50train\acq\1501.txt,6
data/C50/C50train\acq\1502.txt,4
data/C50/C50train\acq\1503.txt,2
data/C50/C50train\acq\1504.txt,2
data/C50/C50train\acq\1505.txt,4
data/C50/C50train\acq\1506.txt,4
data/C50/C50train\acq\1507.txt,4
data/C50/C50train\acq\1508.txt,6
data/C50/C50train\acq\1509.txt,2
data/C50/C50train\acq\151.txt,4
data/C50/C50train\acq\1510.txt,4
data/C50/C50train\acq\1511.txt,4
data/C50/C50train\acq\1512.txt,4
data/C50/C50train\acq\1513.txt,4
data/C50/C50train\acq\1514.txt,2
data/C50/C50train\acq\1515.txt,4
data/C50/C50train\acq\1516.txt,4
data/C50/C50train\acq\1517.txt,4
data/C50/C50train\acq\1518.txt,4
data/C50/C50train\acq\1519.txt,4
data/C50/C50train\acq\152.txt,4
data/C50/C50train\acq\1520.txt,4
data/C50/C50train\acq\1521.txt,4
data/C50/C50train\acq\1522.txt,4
data/C50/C50train\acq\1523.txt,4
data/C50/C50train\acq\1524.txt,4
data/C50/C50train\acq\1525.txt,4
data/C50/C50train\acq\1526.txt,4
data/C50/C50train\acq\1527.txt,4
data/C50/C50train\acq\1528.txt,4
data/C50/C50train\acq\1529.txt,4
data/C50/C50train\acq\153.txt,4
data/C50/C50train\acq\1530.txt,4
data/C50/C50train\acq\1531.txt,4
data/C50/C50train\acq\1532.txt,4
data/C50/C50train\acq\1533.txt,4
data/C50/C50train\acq\1534.txt,4
data/C50/C50train\acq\1535.txt,6
data/C50/C50train\acq\1536.txt,4
data/C50/C50train\acq\1537.txt,4
data/C50/C50train\acq\1538.txt,4
data/C50/C50train\acq\1539.txt,2
data/C50/C50train\acq\154.txt,2
data/C50/C50train\acq\1540.txt,4
data/C50/C50train\acq\1541.txt,4
data/C50/C50train\acq\1542.txt,4
data/C50/C50train\acq\1543.txt,4
data/C50/C50train\acq\1544.txt,4
data/C50/C50train\acq\1545.txt,4
data/C50/C50train\acq\1546.txt,4
data/C50/C50train\acq\1547.txt,4
data/C50/C50train\acq\1548.txt,4
data/C50/C50train\acq\1549.txt,2
data/C50/C50train\acq\155.txt,4
data/C50/C50train\acq\1550.txt,4
data/C50/C50train\acq\1551.txt,4
data/C50/C50train\acq\1552.txt,4
data/C50/C50train\acq\1553.txt,4
data/C50/C50train\acq\1554.txt,4
data/C50/C50train\acq\1555.txt,4
data/C50/C50train\acq\1556.txt,4
data/C50/C50train\acq\1557.txt,4
data/C50/C50train\acq\1558.txt,1
data/C50/C50train\acq\1559.txt,4
data/C50/C50train\acq\156.txt,2
data/C50/C50train\acq\1560.txt,4
data/C50/C50train\acq\1561.txt,4
data/C50/C50train\acq\1562.txt,4
data/C50/C50train\acq\1563.txt,4
data/C50/C50train\acq\1564.txt,4
data/C50/C50train\acq\1565.txt,4
data/C50/C50train\acq\1566.txt,1
data/C50/C50train\acq\1567.txt,6
data/C50/C50train\acq\1568.txt,4
data/C50/C50train\acq\1569.txt,4
data/C50/C50train\acq\157.txt,4
data/C50/C50train\acq\1570.txt,4
data/C50/C50train\acq\1571.txt,4
data/C50/C50train\acq\1572.txt,4
data/C50/C50train\acq\1573.txt,4
data/C50/C50train\acq\1574.txt,4
data/C50/C50train\acq\1575.txt,4
data/C50/C50train\acq\1576.txt,4
data/C50/C50train\acq\1577.txt,4
data/C50/C50train\acq\1578.txt,4
data/C50/C50train\acq\1579.txt,4
data/C50/C50train\acq\158.txt,4
data/C50/C50train\acq\1580.txt,2
data/C50/C50train\acq\1581.txt,4
data/C50/C50train\acq\1582.txt,4
data/C50/C50train\acq\1583.txt,4
data/C50/C50train\acq\1584.txt,4
data/C50/C50train\acq\1585.txt,4
data/C50/C50train\acq\1586.txt,4
data/C50/C50train\acq\1587.txt,4
data/C50/C50train\acq\1588.txt,4
data/C50/C50train\acq\1589.txt,4
data/C50/C50train\acq\159.txt,4
data/C50/C50train\acq\1590.txt,4
data/C50/C50train\acq\1591.txt,4
data/C50/C50train\acq\1592.txt,4
data/C50/C50train\acq\1593.txt,4
data/C50/C50train\acq\1594.txt,4
data/C50/C50train\acq\1595.txt,4
data/C50/C50train\acq\1596.txt,6
data/C50/C50train\acq\1597.txt,2
data/C50/C50train\acq\1598.txt,4
data/C50/C50train\acq\1599.txt,2
data/C50/C50train\acq\16.txt,2
data/C50/C50train\acq\160.txt,4
data/C50/C50train\acq\1600.txt,4
data/C50/C50train\acq\1601.txt,4
data/C50/C50train\acq\1602.txt,4
data/C50/C50train\acq\1603.txt,2
data/C50/C50train\acq\1604.txt,4
data/C50/C50train\acq\1605.txt,4
data/C50/C50train\acq\1606.txt,4
data/C50/C50train\acq\1607.txt,4
data/C50/C50train\acq\1608.txt,4
data/C50/C50train\acq\1609.txt,4
data/C50/C50train\acq\161.txt,4
data/C50/C50train\acq\1610.txt,2
data/C50/C50train\acq\1611.txt,4
data/C50/C50train\acq\1612.txt,4
data/C50/C50train\acq\1613.txt,4
data/C50/C50train\acq\1614.txt,4
data/C50/C50train\acq\1615.txt,2
data/C50/C50train\acq\1616.txt,4
data/C50/C50train\acq\1617.txt,4
data/C50/C50train\acq\1618.txt,4
data/C50/C50train\acq\1619.txt,4
data/C50/C50train\acq\162.txt,4
data/C50/C50train\acq\1620.txt,4
data/C50/C50train\acq\1621.txt,4
data/C50/C50train\acq\1622.txt,4
data/C50/C50train\acq\1623.txt,4
data/C50/C50train\acq\1624.txt,4
data/C50/C50train\acq\1625.txt,4
data/C50/C50train\acq\1626.txt,4
data/C50/C50train\acq\1627.txt,4
data/C50/C50train\acq\1628.txt,4
data/C50/C50train\acq\1629.txt,4
data/C50/C50train\acq\163.txt,4
